products,type,aisle,side
Chick Peas - Dried,Dried goods,4,right
Lettuce - Boston Bib,Fresh produce,4,left
"Asparagus - White, Fresh",Fresh produce,2,right
Rice - 7 Grain Blend,Dried goods,5,left
Mushroom - Crimini,Fresh produce,10,right
"Wine - Red, Black Opal Shiraz",Wine and Spirits,3,left
Juice - Orange 1.89l,Beverage,6,right
Beans - Fava Fresh,Fresh produce,8,left
Blouse / Shirt / Sweater,Apparals,1,left
"Soup - Beef Conomme, Dry",Canned goods,2,left
"Lid - Translucent, 3.5 And 6 Oz",Kitchenware,10,left
Olive - Spread Tapenade,Oils (Consumables),2,right
Soup - Cream Of Potato / Leek,Canned goods,6,left
Bread - Dark Rye,Baked goods,7,right
Garam Marsala,Dried goods,3,left
Tea - Herbal Orange Spice,Beverage,6,right
Filo Dough,Dried goods,4,left
Truffle Shells - Semi - Sweet,Dried goods,10,left
Carbonated Water - Raspberry,Beverage,8,left
Basil - Pesto Sauce,Canned goods,7,left
"Nut - Pine Nuts, Whole",Dried goods,7,left
Sauce - Hp,Sauces,2,left
Vinegar - White Wine,Sauces,9,right
Pork - Ham Hocks - Smoked,Meat,6,right
Muffin Orange Individual,Baked goods,8,right
Yeast Dry - Fermipan,Dried goods,4,right
Sage Derby,Fresh produce,5,right
Cheese - Perron Cheddar,Dairy,1,left
"Lemonade - Black Cherry, 591 Ml",Beverage,1,right
Creme De Menthe Green,Wine and Spirits,1,left
Lychee,Fresh produce,2,left
Bandage - Finger Cots,First Aid,5,right
Ketchup - Tomato,Sauces,1,right
Sausage - Andouille,Meat,8,right
Cheese - Victor Et Berthold,Dairy,5,left
Oxtail - Cut,Meat,2,right
Arizona - Plum Green Tea,Beverage,2,right
Smoked Tongue,ema,5,right
Dried Cranberries,Dried goods,7,right
"Wine - White, Riesling, Semi - Dry",Wine and Spirits,2,left
Puree - Raspberry,Canned goods,5,left
Crab - Imitation Flakes,Meat,3,left
"Tray - Foam, Square 4 - S",Kitchenware,5,right
Peas Snow,Fresh produce,5,right
Chocolate - Chips Compound,Baked goods,6,left
Sauce - Hp,Sauces,8,right
"Beans - Fava, Canned",Canned goods,2,right
Sugar - White Packet,Dried goods,6,left
Wine - Hardys Bankside Shiraz,Wine and Spirits,9,right
Onions - Pearl,Fresh produce,3,left
Orange - Tangerine,Fresh produce,7,left
Soup - Campbells Chicken,Canned goods,8,left
Lobak,Canned goods,4,left
Cheese - Gouda,Dairy,2,right
"Nut - Almond, Blanched, Whole",Dried goods,5,left
Butter - Pod,Dairy,10,right
"Wine - White, Gewurtzraminer",Wine and Spirits,7,left
Mushroom - Morel Frozen,Frozen goods,3,right
Juice - Apple 284ml,Beverage,6,right
Pecan Raisin - Tarts,Baked goods,4,right
"Soup - Beef, Base Mix",Canned goods,3,left
"Olives - Green, Pitted",Fresh produce,9,right
"Chocolate - Pistoles, Lactee, Milk",Dairy,4,right
Flour - Strong Pizza,Dried goods,8,right
Oyster - In Shell,Meat,3,right
Pork - Inside,Meat,8,right
Squash - Butternut,Fresh produce,5,left
Bay Leaf Fresh,Fresh produce,9,left
"Rice Pilaf, Dry,package",Dried goods,8,right
Pepper - Roasted Red,Dried goods,5,right
Pastry - Raisin Muffin - Mini,Baked goods,3,right
Extract Vanilla Pure,Baked goods,5,right
Chicken Thigh - Bone Out,Meat,7,right
Grenadine,Wine and Spirits,8,left
Cheese - Brick With Pepper,Dairy,5,left
Dc - Frozen Momji,Frozen goods,6,left
Bar Energy Chocchip,Baked goods,1,left
Pork - Bacon Cooked Slcd,Meat,6,left
Breakfast Quesadillas,Baked goods,10,left
Ecolab - Ster Bac,Misc,6,right
Eggplant - Regular,Fresh produce,6,right
"Oregano - Dry, Rubbed",Dried goods,2,left
"Champagne - Brights, Dry",Wine and Spirits,10,left
Oil - Pumpkinseed,Oils (Consumables),2,left
"Shrimp, Dried, Small / Lb",Dried goods,9,right
"Nut - Peanut, Roasted",Dried goods,3,left
Sugar - Splenda Sweetener,Dried goods,5,left
"Soda Water - Club Soda, 355 Ml",Beverage,6,left
Tequila - Sauza Silver,Wine and Spirits,3,left
Lobster - Live,Meat,2,left
Yucca,Misc,4,right
Squid - Breaded,Meat,4,left
Wine - Chablis J Moreau Et Fils,Wine and Spirits,3,right
Syrup - Chocolate,Beverage,6,right
Rice - Sushi,Dried goods,3,right
Muffin - Mix - Mango Sour Cherry,Baked goods,5,left
Nescafe - Frothy French Vanilla,Beverage,2,left
"Pasta - Penne, Rigate, Dry",Dried goods,3,right
"Mushroom - Enoki, Fresh",Fresh produce,8,right
Flower - Commercial Bronze,Misc,6,left
